idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
2097,-51.19874673399141,-47.05066336276984,-51.19874673399141,-47.05066336276984,-25.3208235233068,-42.17846320731718
2098,-51.359151944672206,-47.21106857345063,-51.359151944672206,-47.21106857345063,-25.481228733987585,-42.338868417997965
2099,-50.42943819246591,-46.281354821244335,-50.42943819246591,-46.281354821244335,-24.55151498178129,-41.40915466579167
2100,-58.702585640077906,-54.55450226885633,-58.702585640077906,-54.55450226885633,-32.824662429393285,-49.682302113403665
2101,-47.824907274708934,-43.67682390348735,-47.824907274708934,-43.67682390348735,-31.04063511763664,-40.31522153188486
2102,-48.76101174516873,-44.61292837394714,-48.76101174516873,-44.612928373947156,-31.97673958809644,-41.251326002344655
2103,-51.41462387313668,-47.266540501915095,-51.41462387313668,-47.266540501915095,-34.63035171606439,-43.9049381303126
2104,-47.96154558433962,-43.81346221311804,-47.96154558433962,-43.81346221311804,-31.17727342726733,-40.45185984151554
2105,-42.89083481177587,-38.74275144055429,-42.89083481177587,-38.742751440554294,-26.10656265470358,-35.38114906895179
2106,-39.889905669723106,-35.741822298501525,-39.889905669723106,-35.74182229850153,-23.10563351265082,-32.38021992689903
2107,-40.59449789652892,-36.44641452530735,-40.59449789652892,-36.44641452530735,-23.810225739456634,-33.084812153704846
2108,-40.754903107209714,-36.60681973598813,-40.754903107209714,-36.60681973598813,-23.970630950137423,-33.24521736438564
2109,-39.82518935500342,-35.677105983781836,-39.82518935500342,-35.677105983781836,-23.040917197931126,-32.31550361217934
2110,-48.098336802615414,-43.95025343139383,-48.098336802615414,-43.95025343139383,-31.314064645543127,-40.58865105979134
2111,-48.521427514275075,-44.373344143053494,-48.521427514275075,-44.373344143053494,-31.73715535720278,-40.31522153188486
2112,-49.45753198473487,-45.30944861351328,-49.45753198473487,-45.3094486135133,-32.67325982766258,-41.251326002344655
2113,-52.11114411270282,-47.963060741481236,-52.11114411270282,-47.963060741481236,-35.32687195563053,-43.9049381303126
2114,-48.65806582390576,-44.50998245268418,-48.65806582390576,-44.50998245268418,-31.87379366683347,-40.45185984151554
2115,-43.58735505134201,-39.43927168012043,-43.58735505134201,-39.439271680120434,-26.80308289426972,-35.38114906895179
2116,-40.58642590928925,-36.438342538067666,-40.58642590928925,-36.43834253806767,-23.80215375221696,-32.38021992689903
2117,-41.29101813609506,-37.14293476487349,-41.29101813609506,-37.14293476487349,-24.506745979022774,-33.084812153704846
2118,-41.451423346775854,-37.30333997555427,-41.451423346775854,-37.30333997555427,-24.667151189703564,-33.24521736438564
2119,-40.52170959456956,-36.373626223347976,-40.52170959456956,-36.373626223347976,-23.737437437497267,-32.31550361217934
2120,-48.794857042181555,-44.64677367095997,-48.794857042181555,-44.64677367095997,-32.01058488510927,-40.58865105979134
2121,-49.3355050585591,-45.18742168733752,-49.3355050585591,-45.18742168733752,-32.551232901486806,-40.31522153188486
2122,-50.27160952901889,-46.123526157797315,-50.27160952901889,-46.123526157797315,-33.48733737194661,-41.251326002344655
2123,-52.92522165698684,-48.77713828576526,-52.92522165698684,-48.77713828576526,-36.14094949991455,-43.9049381303126
2124,-49.47214336818978,-45.3240599969682,-49.47214336818978,-45.3240599969682,-32.68787121111749,-40.45185984151554
2125,-44.401432595626034,-40.25334922440445,-44.401432595626034,-40.25334922440445,-27.617160438553746,-35.38114906895179
2126,-41.40050345357327,-37.25242008235169,-41.40050345357327,-37.25242008235169,-24.616231296500985,-32.38021992689903
2127,-42.105095680379094,-37.957012309157506,-42.105095680379094,-37.957012309157506,-25.3208235233068,-33.084812153704846
2128,-42.26550089105988,-38.1174175198383,-42.26550089105988,-38.1174175198383,-25.481228733987585,-33.24521736438564
2129,-41.33578713885358,-37.187703767632,-41.33578713885358,-37.187703767632,-24.55151498178129,-32.31550361217934
2130,-49.60893458646558,-45.460851215244,-49.60893458646558,-45.460851215244,-32.824662429393285,-40.58865105979134
2131,-43.06837985246433,-36.89996098312016,-41.04804435434174,-36.89996098312016,-31.04063511763664,-35.55869410964026
2132,-44.00448432292413,-37.83606545357996,-41.98414882480154,-37.83606545357996,-31.97673958809644,-36.49479858010005
2133,-46.658096450892074,-40.4896775815479,-44.63776095276948,-40.4896775815479,-34.63035171606439,-39.148410708068
2134,-43.205018162095016,-37.03659929275084,-41.184682663972424,-37.03659929275084,-31.17727342726733,-35.69533241927094
2135,-38.134307389531266,-31.9658885201871,-36.113971891408674,-31.9658885201871,-26.10656265470358,-30.62462164670719
2136,-35.133378247478504,-28.96495937813434,-33.11304274935591,-28.96495937813434,-23.10563351265082,-27.62369250465443
2137,-35.83797047428432,-29.669551604940153,-33.81763497616173,-29.669551604940153,-23.810225739456634,-28.328284731460247
2138,-35.99837568496511,-29.82995681562094,-33.97804018684252,-29.82995681562094,-23.970630950137423,-28.488689942141036
2139,-35.068661932758815,-28.900243063414642,-33.04832643463622,-28.900243063414642,-23.040917197931126,-27.55897618993474
2140,-43.34180938037081,-37.17339051102664,-41.32147388224822,-37.17339051102664,-31.314064645543127,-35.83212363754674
2141,-43.76490009203047,-37.5964812226863,-41.74456459390788,-37.5964812226863,-31.73715535720278,-35.55869410964026
2142,-44.70100456249027,-38.5325856931461,-42.68066906436768,-38.5325856931461,-32.67325982766258,-36.49479858010005
2143,-47.354616690458215,-41.18619782111404,-45.334281192335624,-41.18619782111404,-35.32687195563053,-39.148410708068
2144,-43.901538401661156,-37.733119532316984,-41.881202903538565,-37.733119532316984,-31.87379366683347,-35.69533241927094
2145,-38.830827629097406,-32.66240875975324,-36.810492130974815,-32.66240875975324,-26.80308289426972,-30.62462164670719
2146,-35.829898487044645,-29.66147961770048,-33.80956298892205,-29.66147961770048,-23.80215375221696,-27.62369250465443
2147,-36.53449071385046,-30.366071844506294,-34.51415521572787,-30.366071844506294,-24.506745979022774,-28.328284731460247
2148,-36.69489592453125,-30.52647705518708,-34.67456042640866,-30.52647705518708,-24.667151189703564,-28.488689942141036
2149,-35.765182172324955,-29.596763302980783,-33.744846674202364,-29.596763302980783,-23.737437437497267,-27.55897618993474
2150,-44.03832961993695,-37.86991075059278,-42.01799412181436,-37.86991075059278,-32.01058488510927,-35.83212363754674
2151,-44.5789776363145,-38.410558766970325,-42.55864213819191,-38.410558766970325,-32.551232901486806,-35.55869410964026
2152,-45.51508210677429,-39.34666323743012,-43.494746608651695,-39.34666323743012,-33.48733737194661,-36.49479858010005
2153,-48.16869423474224,-42.00027536539807,-46.14835873661965,-42.00027536539807,-36.14094949991455,-39.148410708068
2154,-44.71561594594518,-38.54719707660101,-42.69528044782259,-38.54719707660101,-32.68787121111749,-35.69533241927094
2155,-39.64490517338143,-33.47648630403726,-37.62456967525884,-33.47648630403726,-27.617160438553746,-30.62462164670719
2156,-36.64397603132867,-30.475557161984497,-34.62364053320608,-30.475557161984497,-24.616231296500985,-27.62369250465443
2157,-37.34856825813449,-31.180149388790316,-35.3282327600119,-31.180149388790316,-25.3208235233068,-28.328284731460247
