idx,construction_score,construction_logprob,default_nan_score,default_nan_logprob,order_swap_score,order_swap_logprob,no_article_score,no_article_logprob,no_modifier_score,no_modifier_logprob,no_numeral_score,no_numeral_logprob
21,1.4960465495420445,-6.9172714193592375,-0.17348213225202969,-9.334789168449753,-0.6635234280187827,-8.571694908035553,0.27142495939014805,-8.889882076807575,1.0897930485978111,-5.814903018019051,0.6763163507661325,-7.813529198684066
22,1.5644322965053323,-7.113065626763843,-0.18668072206093456,-9.70022769741585,-0.6734223703754605,-8.845773804760126,0.3626059553411996,-9.150941020013716,1.1295401958429494,-6.127395809931106,0.6631177609572276,-8.178967727650162
23,1.5705918571563178,-7.01131839562599,-0.29841550864361704,-9.684512256682709,-0.7572234603124723,-8.83398722421027,0.3708187028758469,-9.015278045163244,1.2102738099857326,-5.919211968472498,0.5513829743745452,-8.163252286917022
24,1.49813662103276,-6.699263597512196,-0.44318844945994823,-9.316605151849238,-0.8658031659247207,-8.558056895585167,0.2742117213777699,-8.59920498101152,1.1243450203029894,-5.492460712505441,0.40661003355821396,-7.795345182083551
25,1.555660696953364,-7.02477414702642,-0.11846972315239175,-9.502599259454785,-0.6222641211940534,-8.697552476289328,0.35091048927190843,-9.033219047030485,1.1939502466906156,-5.933568320030918,0.7313287598657704,-7.981339289689099
26,1.375256888276403,-7.244069324783541,-0.21604081040329368,-9.652025505479234,-0.6788699938286005,-8.793049718004035,0.11037189470960722,-9.325612800366333,0.8482095127342669,-6.331164212760814,0.6763163507661325,-7.813529198684066
27,1.0872955198465313,-7.796210647581308,-0.22923940021219735,-10.01746403444533,-0.6887689361852782,-9.067128614728608,-0.27357659653022165,-10.061801230763356,0.4642610214944393,-7.067352643157835,0.6631177609572276,-8.178967727650162
28,1.290512351488526,-7.497406145452445,-0.340974186794881,-10.00174859371219,-0.7725700261222901,-9.055342034178752,-0.00262082100756326,-9.663395227924871,0.7352167970170965,-6.668946640319352,0.5513829743745452,-8.163252286917022
29,1.6957996285399997,-6.70760883416362,-0.4857471276112098,-9.633841488878717,-0.8811497317345385,-8.779411705553649,0.5377622150610696,-8.610332146206439,1.3836011252414704,-5.507882266445178,0.40661003355821396,-7.795345182083551
30,1.4685390983450066,-7.317903989793441,-0.16102840130365573,-9.819835596484268,-0.6376106870038711,-8.91890728625781,0.23474817480107882,-9.424059020379532,0.9725857928257385,-6.429610432774013,0.7313287598657704,-7.981339289689099
31,1.579897279636004,-6.793266998565574,0.1220689968793162,-8.985699785052136,-0.41931447163759383,-8.287332260954662,0.39240394786937927,-8.715364834062072,1.4140148825031968,-5.259287892935567,0.7552411511214517,-7.9124594352405735
32,1.6997839193736581,-6.937560313195814,0.10887040707041251,-9.35113831401823,-0.4292134139942725,-8.561411157679235,0.5522528008529193,-8.907755920235724,1.4392027389284685,-5.586339975667489,0.7420425613125469,-8.277897964206671
33,1.6711641464927443,-6.87059241558986,-0.0028643795122711424,-9.335422873285092,-0.5130145039312843,-8.549624577129379,0.5140931036783686,-8.81846539009445,1.440123580520705,-5.457968906759429,0.6303077747298644,-8.262182523473529
34,1.3859675133259328,-6.77127901451932,-0.14763732032860113,-8.96751576845162,-0.6215942095435327,-8.273694248504276,0.13383092612262004,-8.686047522000399,0.9221123991596952,-5.463300042470636,0.48553483391353325,-7.894275418640059
35,1.5303818685400419,-7.0098992847400385,0.17708140597895294,-9.15350987605717,-0.3780551648128654,-8.413189829208436,0.3263833997414321,-9.00420788229469,1.2676518885223977,-5.628473387021038,0.8102535602210897,-8.080269526245607
36,1.5552404242980673,-6.991468822287085,-0.08537895089004977,-9.4245410239996,-0.597446041997296,-8.639008799697937,0.35952832374515253,-8.979633749364398,1.0897930485978111,-5.814903018019051,0.7552411511214517,-7.9124594352405735
37,1.6236261712613551,-7.187263029691691,-0.09857754069895464,-9.789979552965697,-0.6073449843539738,-8.91308769642251,0.45070931969620415,-9.240692692570539,1.1295401958429494,-6.127395809931106,0.7420425613125469,-8.277897964206671
38,1.6297857319123406,-7.085515798553837,-0.2103123272816371,-9.774264112232556,-0.6911460742909874,-8.901301115872656,0.4589220672308514,-9.105029717720067,1.2102738099857326,-5.919211968472498,0.6303077747298644,-8.262182523473529
39,1.5573304957887828,-6.773461000440044,-0.3550852680979671,-9.406357007399084,-0.799725779903234,-8.625370787247551,0.3623150857327744,-8.688956653568342,1.1243450203029894,-5.492460712505441,0.48553483391353325,-7.894275418640059
40,1.6148545717093867,-7.098971549954268,-0.030366541790411834,-9.592351115004632,-0.5561867351725684,-8.764866367951713,0.439013853626913,-9.122970719587308,1.1939502466906156,-5.933568320030918,0.8102535602210897,-8.080269526245607
41,1.4344504885428924,-7.318267002200922,-0.12793762904131256,-9.74177736102908,-0.6127926078071138,-8.860363609666418,0.19847507607158832,-9.415364655916179,0.8482095127342669,-6.331164212760814,0.7552411511214517,-7.9124594352405735
42,1.1464891201130207,-7.870408324998689,-0.14113621885021624,-10.107215889995176,-0.6226915501637915,-9.134442506390991,-0.18547341516824054,-10.151553086313202,0.4642610214944393,-7.067352643157835,0.7420425613125469,-8.277897964206671
43,1.3497059517550154,-7.571603822869826,-0.2528710054328999,-10.091500449262035,-0.7064926401008051,-9.122655925841137,0.08548236035441785,-9.753147083474717,0.7352167970170965,-6.668946640319352,0.6303077747298644,-8.262182523473529
44,1.7549932288064891,-6.781806511581001,-0.3976439462492287,-9.723593344428563,-0.8150723457130518,-8.846725597216032,0.6258653964230495,-8.700084001756286,1.3836011252414704,-5.507882266445178,0.48553483391353325,-7.894275418640059
45,1.527732698611496,-7.392101667210822,-0.07292521994167345,-9.909587452034112,-0.5715333009823862,-8.986221177920195,0.32285135616305877,-9.51381087592938,0.9725857928257385,-6.429610432774013,0.8102535602210897,-8.080269526245607
